Date,System,Site,Location,Time,T_C,DO_AS,pH,Cond_uS,h_cm,Turbidity_NTU,notes,d_veg_cm
24/11/2023,PL,PLS,L10-half,11:02,24.7,23.8,4.3,10,98,,,
24/11/2023,PL,PLS,L10-mid,11:03,24.6,23.6,3.8,10,93,,,
27/11/2023,PL,PLS,L10-edge,13:25,26.6,35.5,4.38,10,84,2.34,,
27/11/2023,PL,PLS,L10-half,13:25,26.5,36,4.24,10,85,,,
27/11/2023,PL,PLS,L10-mid,13:26,26.4,36,4.2,10,82,,,
29/11/2023,PL,PLS,L10-edge,09:12,23.6,7.3,3.65,11,79,1.635,,
29/11/2023,PL,PLS,L10-half,09:14,23.6,6.9,3.79,10,83,,,
29/11/2023,PL,PLS,L10-mid,09:16,23.6,6.9,3.76,11,87,,,
11/10/2023,SL,SLP,L1-edge,16:50,26,38.8,4.31,9,100,1.85,,
13/10/2023,SL,SLP,L1-edge,12:20,27.4,31.6,5.17,13,28,,,
13/10/2023,SL,SLP,L1-half,12:23,27.1,31.3,5.25,12,76,,,
13/10/2023,SL,SLP,L1-mid,12:25,26.7,28.3,4.96,10,100,,,
18/10/2023,SL,SLP,L1-edge,13:40,27.6,27.6,4.32,8,91,3.56,,
20/10/2023,SL,SLP,L1-edge,09:30,23.9,37.7,4.14,8,58,4.3275,,
25/10/2023,SL,SLP,L1-edge,13:30,27.8,22.2,4.78,9,74,2.3375,,
27/10/2023,SL,SLP,L1-edge,10:11,27.1,27.1,4.56,8,89,1.9425,,
01/11/2023,SL,SLP,L1-edge,12:27,25.4,23.5,4.23,8,100,3.4325,,
03/11/2023,SL,SLP,L1-edge,09:38,22.4,16.4,4.44,8,73.5,2.555,,
08/11/2023,SL,SLP,L1-edge,12:13,24.8,39.7,4.73,9,96,1.365,,
10/11/2023,SL,SLP,L1-edge,09:08,23.7,14.9,4.2,8,92,3.635,,
15/11/2023,SL,SLP,L1-edge,13:30,24.2,29.3,4.4,8,121,1.475,,
15/11/2023,SL,SLP,L2-edge,13:31,23.7,9.1,,,,,,
17/11/2023,SL,SLP,L1-edge,11:11,23.4,37.8,4.49,11,104,1.58,,
17/11/2023,SL,SLP,L2-edge,11:19,23.1,5.5,,,,,,
22/11/2023,SL,SLP,L1-edge,16:00,28,78.6,5.23,11,106,1.72,,
22/11/2023,SL,SLP,L2-edge,16:01,25.5,7.6,,,,,,
24/11/2023,SL,SLP,L1-edge,10:30,24.2,29.9,4.2,11,132,1.715,,
24/11/2023,SL,SLP,L2-edge,10:31,23.9,8.4,,,,,,
27/11/2023,SL,SLP,L1-edge,14:03,27.2,38.5,4.64,11,131,1.395,,
27/11/2023,SL,SLP,L2-edge,14:07,24.9,4.8,,,,,,
29/11/2023,SL,SLP,L1-edge,09:42,22.7,5.4,3.91,12,129,1.345,,
29/11/2023,SL,SLP,L2-edge,09:44,23.1,3.4,,,,,,
